Commit_Id,PR,Repo
15691734ff5952159a70f09f0a6267b82adb014e,TM-1753 Remove Integration Test,saas-platform-ms-tenant-manager
09821c1aa27e762bdc03f377dacff077ef50e02b,TM-1751 : refactored code,saas-platform-ms-tenant-manager
7df3a8466fde31bd89c7aba5fd085f356dea2db2,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
106ae97c107144c6ad0bc9cb206dda6d16cd10b6,TM-1751 : initial commit for ITs,saas-platform-ms-tenant-manager
12f7f9bab2ff110402610c409b4b04df8f485acb,Merge remote-tracking branch 'origin/master' into PIN-489-FuzeV1Support,saas-platform-ms-tenant-manager
9dc478be987d582e00724f8f5a752eaf0284cb53,PIN-776: Atos version 1 support,saas-platform-ms-tenant-manager
30c3d75c092abfff738415da70db5408a1ec3799,Pull request #786: UH-6896 Fixed CPU based Alarm name for Cluster B,saas-platform-ms-tenant-manager
c26c7d0e2ff1347e8bd58363b0d928a1e42b4cd1,TM-1736 Fix IT,saas-platform-ms-tenant-manager
ca36b0be733024207d3454f0236fa716a99ffd90,TM-1736 Fix IT,saas-platform-ms-tenant-manager
90eb62abb95b8a262de1ae731f500071865f9d6e,TM-1752 : updated test to increase the code coverage,saas-platform-ms-tenant-manager
803d999a69f402999eef37ec328a8b28b969a161,Merge branch 'master' into feature/TM-1736-backend-implement-logic-to-add-update-child-ten,saas-platform-ms-tenant-manager
7666758c6f4df2588a02842e14bef9f03075ad0a,TM-1753 Add Integration Test,saas-platform-ms-tenant-manager
50ffe87828131a63d3a70d48cae86402a9091bfb,TM-1736 Modify partner agginfo API to get the child tenant count from entities rather than,saas-platform-ms-tenant-manager
79379e34c5dafe2eb80caa050de846595009fe23,TM-1751 : added filter,saas-platform-ms-tenant-manager
beefc71d270fd34612a6c26c2f3768bbedb30d6b,TM-1752 : removed unwanted IT and updated optimized code,saas-platform-ms-tenant-manager
9560e75029edc6d53b1cf91e14a7b7eff05bc69f,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
c99f31e7185d8223b546df75bb186d343d47a15f,Pull request #790: TM-1622 : updated logic for check licence first and show count,saas-platform-ms-tenant-manager
222e27c5a7f942d216613925af2fa8339e970422,TM-1622 : updated code as per code review comments,saas-platform-ms-tenant-manager
dd08743fe40b6b1eb93568b76f476fc72e7493b4,TM-1622 : updated logic for check licence first and show count,saas-platform-ms-tenant-manager
c6143335b5a79a37f739187e0ee95bef38f4278e,TM-1736 Add FT and check for verifying if parent exists,saas-platform-ms-tenant-manager
8c02d32852781aaa479a746a96def229bf4c5733,TM-1753 search tenant by start with or end with option,saas-platform-ms-tenant-manager
0c962270519b01b550641dc560fee41d7e4030e4,Pull request #787: PIN-489: Fuze version 1 support,saas-platform-ms-tenant-manager
48609f3e4efbdb21e643e68134efbed2cef5e491,UH-6896 updated alarm name,saas-platform-ms-tenant-manager
f798abc481c1f263a5dd4d6eea4d767ef5fd9b5a,TM-1752 : updated Integrated Test Cases,saas-platform-ms-tenant-manager
291dd23980a295ccb49e75d10e5e5b2845d7211d,Pull request #788: TM-1622 : updated application user count data for available tenants onl,saas-platform-ms-tenant-manager
b4248a09138f8420b4d1f843cb978a0b9413dac8,PIN-489: Fuze version 1 support,saas-platform-ms-tenant-manager
80987eef75c4a459e5420d5e470eb8c62d131a7d,TM-1622 : updated test cases,saas-platform-ms-tenant-manager
8384f01077c4c448700e7b8660960c816c7a2598,TM-1622 : updated code for pagination,saas-platform-ms-tenant-manager
14bd85c6a0a39b889b0dd4a841d5d748314758b2,TM-1751 : initial commit,saas-platform-ms-tenant-manager
e5485b782b0cdf923a5c79602d8cd787cb439188,TM-1622 : updated application user count data for available tenants only,saas-platform-ms-tenant-manager
24bcef93c6a6ff9707806c01ff6ea21f809c1aac,Merge remote-tracking branch 'origin/master' into PIN-489-FuzeV1Support,saas-platform-ms-tenant-manager
d053d87336f6ca905ad7e4608f1e06083b49426a,PIN-489: Fuze version 1 support,saas-platform-ms-tenant-manager
8ee8e830c1b855af9dbfcdebe06603dc529a2377,TM-1736 Add UTs,saas-platform-ms-tenant-manager
4c813b3bae24877f2e52c02abf8d258f6df030a7,TM-1752 : code added to support multiple applications with OR condition,saas-platform-ms-tenant-manager
ea3a957a6fdef202c9ed37810e654a6a9f5e63fc,TM-1736 Add logic to update child tenant counts in the parent tenant record,saas-platform-ms-tenant-manager
3aeea9c7db311ae2404befcd624115e94cc0f0c2,UH-6896 Fixed CPU based Alarm name for Cluster B,saas-platform-ms-tenant-manager
2867531e276121400e16a0b6a61aa047230aa1ab,Pull request #785: EPM-3775: Fixed code issue,saas-platform-ms-tenant-manager
a6d14c4f343f3a015d2404ef01d05f039588c1b1,EPM-3775: Fixed code issue,saas-platform-ms-tenant-manager
e93e48671b60cfc1bc64b035c9b6572f7ad23d1f,Pull request #766: EPM-3775 Remove PM application license reference,saas-platform-ms-tenant-manager
1d752764e1549724a80ec358fafb24552f2dafae,merge from master,saas-platform-ms-tenant-manager
5b9ae6fa1d24d9dcd5bbf36614acd71327775491,Pull request #784: TM-1652 Retry logic in status update of tenant creation,saas-platform-ms-tenant-manager
8a8cd2a99f9e6b77b91167ca9cd9d5e75e673c7c,TM-1652 : implemented review comments,saas-platform-ms-tenant-manager
9b9d6e33273f574f50ba9371d9eb1f2249d3916b,TM-1652 Fix SyncRoleType filter for case insensitive,saas-platform-ms-tenant-manager
b40acdc932e8d6bbc29e8ea78b983aa8e13fd4b6,Pull request #779: TM-1272 : version changes and URL changes,saas-platform-ms-tenant-manager
63742aa89c2b01bbafdb55de40be2c8ee7b4a9fa,Pull request #782: TM-1581 : Uncommented the ITs which were failing due to wfm-acd issue,saas-platform-ms-tenant-manager
4428291363eee2b9665653029d710169b2d25f24,TM-1652: added UT for retry logic.,saas-platform-ms-tenant-manager
5059121a43577197422f169effedef2dc3c7fd2b,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
4bb10593d79ca2ad683a3bfd347715d111919cce,TM-1652 : Updated retry logic,saas-platform-ms-tenant-manager
92302a5ab53da8b406258e551a270c03fc1d625a,TM-1652 : added logger,saas-platform-ms-tenant-manager
9e1650efb0d7268acad61f4057625a3ceae62a33,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
9620f673625d75349ab23088471aafc8d3609328,TM-1652 : refatcored code and use common method for retry,saas-platform-ms-tenant-manager
d2220979d3558e89dfd7496939ffdc20405b353e,Pull request #783: TM-1749 Add property to enable EH cache for permissions,saas-platform-ms-tenant-manager
